id,date,date_unixtime,professor_id,professor_name_clean,department,course_name_clean,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,grading_status,attendance_status,comment_clean,sentiment,cluster
1,,,675,سید محمد شهرتاش,,بررسی 1 بررسی2 حفاظت,8,9,7,9,8,10,منصفانه,نامشخص,سید محمد شهرتاش برق بررسی ۱ بررسی۲ حفاظت منابع آموزش فایل پاورپوینت یا پی دی اف می دهد حضور و غیاب حضور و غیاب نمی کند منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن منصفانه و هرچی خودت بگیری ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 8 دانش عمومی 9 توانایی انتقال مطالب و نکات مهم درس 7 نحوه مدیریت کلاس نظم و زمان 9 پاسخگویی حضوری و غیرحضوری 8 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی چیزی ندارم ترمی که دانشجو با این استاد کلاس داشته مهر 99 توضیحات چیزی اضافه ایی نیست برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,neutral,0
2,,,461,دکتر هاجر فلاحتی,,مدار منطقی طراحی سیستم های کامپیوتری,1,2,1,3,2,10,نامشخص,نامشخص,دکتر هاجر فلاحتی مهندسی_کامپیوتر مدار منطقی طراحی سیستم های کامپیوتری منابع آموزش یادم نمیاد حضور و غیاب حضور مهم نیست اما تاثیر مثبت دارد منابع معرفی شده برای امتحان کافی است خیر وضعیت نمره دادن نمره خوبی نمیشه ازشون گرفت ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 1 دانش عمومی 2 توانایی انتقال مطالب و نکات مهم درس 1 نحوه مدیریت کلاس نظم و زمان 3 پاسخگویی حضوری و غیرحضوری 2 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی چیزی ندارم ترمی که دانشجو با این استاد کلاس داشته بهمن 98 توضیحات خوب درس نمیده اصلا نمره ها رو خوب نمیده و اصلا در طی ترم یا اخر ترم جواب ایمیل نمیده منبع مشخصی نداره پایانترماش فضاییه خوش اخلاقه نسبتا ولی بهش زود برمیخوره نمونهه بارز ادم بی نظم خییییییلی بی نظم و بی برنامه است همه چیش برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,positive,1
3,,,762,علم الهدی,,بلور شناسی,9,8,10,9,10,10,منصفانه,نامشخص,علم الهدی مهندسی_مواد بلور شناسی منابع آموزش فایل پاورپوینت یا پی دی اف می دهد حضور و غیاب حضور و غیاب نمی کند منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن منصفانه و هرچی خودت بگیری ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 9 دانش عمومی 8 توانایی انتقال مطالب و نکات مهم درس 10 نحوه مدیریت کلاس نظم و زمان 9 پاسخگویی حضوری و غیرحضوری 10 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی بله ترمی که دانشجو با این استاد کلاس داشته بهمن 99 توضیحات در کل اگر که دنبال یک استاد با ادب با دانشجو میخواید گزینه خوبیه برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,positive,2
4,,,264,حجت قاسمی,,سوخت و احتراق,10,10,9,9,9,9,منصفانه,نامشخص,حجت قاسمی مکانیک سوخت و احتراق منابع آموزش یک کتاب مرجع معرفی می کند حضور و غیاب حضور و غیاب نمی کند منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن منصفانه و هرچی خودت بگیری ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 10 دانش عمومی 10 توانایی انتقال مطالب و نکات مهم درس 9 نحوه مدیریت کلاس نظم و زمان 9 پاسخگویی حضوری و غیرحضوری 9 آداب و رفتار اجتماعی با دانشجویان 9 راه ارتباطی شماره تماس ترمی که دانشجو با این استاد کلاس داشته مهر 98 توضیحات سخت گیر و پربازده برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,neutral,2
5,,,855,فریبرز قاسمی,,برنامه نویسی کامپیوتر,8,10,8,10,7,9,منصفانه,نامشخص,فریبرز قاسمی مهندسی_کامپیوتر برنامه نویسی کامپیوتر منابع آموزش فایل پاورپوینت یا پی دی اف می دهد حضور و غیاب حضور و غیاب نمی کند منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن منصفانه و هرچی خودت بگیری ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 8 دانش عمومی 10 توانایی انتقال مطالب و نکات مهم درس 8 نحوه مدیریت کلاس نظم و زمان 10 پاسخگویی حضوری و غیرحضوری 7 آداب و رفتار اجتماعی با دانشجویان 9 راه ارتباطی چیزی ندارم ترمی که دانشجو با این استاد کلاس داشته بهمن 99 توضیحات چیزی اضافه ایی نیست برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,neutral,0
6,,,918,محمد باقر صادقی,,درس های پلاستیسیته و مکانیک محیط های پیوسته,10,10,10,10,10,10,منصفانه,نامشخص,محمد باقر صادقی مهندسی_مواد درس های پلاستیسیته و مکانیک محیط های پیوسته منابع آموزش فایل پاورپوینت یا پی دی اف می دهد حضور و غیاب حضور مهم نیست اما تاثیر مثبت دارد منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن منصفانه و هرچی خودت بگیری ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 10 دانش عمومی 10 توانایی انتقال مطالب و نکات مهم درس 10 نحوه مدیریت کلاس نظم و زمان 10 پاسخگویی حضوری و غیرحضوری 10 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی بله ایشان گروه مجازی جهت ارتباط علمی با دانشجویان ایجاد کرده اند ترمی که دانشجو با این استاد کلاس داشته مهر 99 توضیحات دقت کنید هر جلسه مطالب را بخونید ارشد شب امتحانی نیست طول ترمی هست درس برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,neutral,2
7,,,1202,هادی خرمی شاد,,اتصالات چسبی,10,10,10,10,10,10,منصفانه,نامشخص,هادی خرمی شاد مکانیک اتصالات چسبی منابع آموزش در حین تدریس جزوه می نویسیم حضور و غیاب حضور مهم نیست اما تاثیر مثبت دارد منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن منصفانه و هرچی خودت بگیری ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 10 دانش عمومی 10 توانایی انتقال مطالب و نکات مهم درس 10 نحوه مدیریت کلاس نظم و زمان 10 پاسخگویی حضوری و غیرحضوری 10 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی چیزی ندارم ترمی که دانشجو با این استاد کلاس داشته بهمن 98 توضیحات چیزی اضافه ایی نیست برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,neutral,0
8,,,1017,محمدعظیم کرمی,,الکترونیک 1,5,7,8,8,6,5,نامشخص,نامشخص,محمدعظیم کرمی برق الکترونیک 1 منابع آموزش فایل پاورپوینت یا پی دی اف می دهد حضور و غیاب حضور مهم است و تاثیر مستقیم دارد منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن نمره خوبی نمیشه ازشون گرفت ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 5 دانش عمومی 7 توانایی انتقال مطالب و نکات مهم درس 8 نحوه مدیریت کلاس نظم و زمان 8 پاسخگویی حضوری و غیرحضوری 6 آداب و رفتار اجتماعی با دانشجویان 5 راه ارتباطی چیزی ندارم ترمی که دانشجو با این استاد کلاس داشته بهمن 99 توضیحات اعصابی براتون نمیمونه چه نمره خوبی بگیرید چه بد ترم ما 40 کلاس افتادن البته 3 4 تا 20 هم داشتیم در کل سیاست نمره دهی و کوئیز هاشون وقت کم دمار از دانشجو در میاره اما اگر اهل تلاش زیاد باشید امکان نمره خوب گرفتن هم هست برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,positive,1
9,,,668,سید علیرضا نظام الحسینی,,سیگنالها و سیستمها,10,10,10,8,10,10,منصفانه,نامشخص,سید علیرضا نظام الحسینی برق سیگنالها و سیستمها منابع آموزش کتاب مرجع معرفی میکند پاورپوینت هم میدهد اما اکثر اوقات روی وایت برد تدریس میکند حضور و غیاب حضور و غیاب نمی کند منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن منصفانه و هرچی خودت بگیری ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 10 دانش عمومی 10 توانایی انتقال مطالب و نکات مهم درس 10 نحوه مدیریت کلاس نظم و زمان 8 پاسخگویی حضوری و غیرحضوری 10 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی ایمیل ایشان بود که در سایت نیز هست ترمی که دانشجو با این استاد کلاس داشته مهر 99 توضیحات استاد خوبی هستند فقط امتحان های سختی میگیرن که اون هم اگر خونده باشی میشه اوکی کردش در کل خیلی رواله برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,positive,2
10,,,768,علی رضا ایوانی,,درس شکل پذیری فلزات و شکست,10,10,10,10,10,10,منصفانه,نامشخص,علی رضا ایوانی مهندسی_مواد درس شکل پذیری فلزات و شکست منابع آموزش فایل پاورپوینت یا پی دی اف می دهد حضور و غیاب حضور مهم نیست اما تاثیر مثبت دارد منابع معرفی شده برای امتحان کافی است بله وضعیت نمره دادن منصفانه و هرچی خودت بگیری ارزیابی دانشجو پیوستگی و یکپارچگی تدریس 10 دانش عمومی 10 توانایی انتقال مطالب و نکات مهم درس 10 نحوه مدیریت کلاس نظم و زمان 10 پاسخگویی حضوری و غیرحضوری 10 آداب و رفتار اجتماعی با دانشجویان 10 راه ارتباطی بله گروه مجازی دارن ترمی که دانشجو با این استاد کلاس داشته بهمن 99 توضیحات سعی کنید سر کلاس خوب گوش بدید به مطالب برای ثبت معرفی استاد به ربات زیر پیام بدید ostad_elmosibot کانال معرفی اساتید دانشگاه علم و صنعت ostad_elmosi ostad_elmosi,positive,2
